Alam,Hiburan,Kuliner,Olahraga,Rekreasi,Religius,Sejarah Edukasi,Seni Budaya
0.363,0.323,0.2496,0.0,0.325,0.0,0.292,0.674
0.363,0.324,0.2496,0.0,0.3395,0.0,0.292,0.674
0.363,0.323,0.2496,0.0,0.33849999999999997,0.0,0.292,0.674
0.363,0.323,0.2496,0.0,0.324,0.0,0.292,0.674
0.363,0.323,0.2496,0.0,0.33849999999999997,0.0,0.292,0.674
0.363,0.324,0.2496,0.0,0.33799999999999997,0.0,0.292,0.674
0.363,0.323,0.2488,0.0,0.324,0.0,0.292,0.675
0.363,0.324,0.2488,0.0,0.33799999999999997,0.0,0.292,0.674
0.364,0.323,0.2476,0.0,0.313,0.0,0.292,0.575
0.364,0.322,0.22759999999999997,0.0,0.2995,0.0,0.292,0.5740000000000001
0.365,0.322,0.22679999999999997,0.0,0.314,0.0,0.292,0.5740000000000001
0.365,0.32,0.22559999999999997,0.0,0.3145,0.0,0.29300000000000004,0.5730000000000001
0.366,0.32,0.2088,0.0,0.3145,0.0,0.29300000000000004,0.572
0.366,0.562,0.2084,0.0,0.2995,0.0,0.29300000000000004,0.576
0.367,0.315,0.2088,0.0,0.2995,0.0,0.29300000000000004,0.371
0.369,0.286,0.2088,0.0,0.33199999999999996,0.0,0.29300000000000004,0.371
0.368,0.315,0.1844,0.0,0.33199999999999996,0.0,0.29300000000000004,0.372
0.369,0.315,0.1844,0.0,0.333,0.0,0.29300000000000004,0.371
0.5,0.321,0.1844,0.0,0.3325,0.0,0.29300000000000004,0.373
0.37,0.321,0.1844,0.0,0.3325,0.0,0.29300000000000004,0.376
0.5,0.32599999999999996,0.1844,0.0,0.3325,0.0,0.29300000000000004,0.375
0.5,0.29300000000000004,0.1844,0.0,0.333,0.0,0.29300000000000004,0.375
0.5,0.29300000000000004,0.1844,0.0,0.333,0.0,0.29300000000000004,0.386
0.5,0.29900000000000004,0.18480000000000002,0.0,0.3315,0.0,0.294,0.46399999999999997
0.052000000000000005,0.301,0.2008,0.0,0.34049999999999997,0.0,0.294,0.466
0.052000000000000005,0.3,0.2004,0.0,0.35750000000000004,0.0,0.294,0.471
0.052000000000000005,0.3,0.2008,0.0,0.34199999999999997,0.0,0.294,0.471
0.5,0.3,0.2004,0.0,0.34249999999999997,0.0,0.294,0.471
0.052000000000000005,0.288,0.2,0.0,0.34249999999999997,0.0,0.294,0.471
0.052000000000000005,0.288,0.2,0.0,0.343,0.0,0.294,0.472
0.052000000000000005,0.28700000000000003,0.2,0.0,0.34199999999999997,0.0,0.294,0.471
0.052000000000000005,0.28700000000000003,0.2,0.0,0.34249999999999997,0.0,0.294,0.471
0.053000000000000005,0.29900000000000004,0.2,0.0,0.3585,0.0,0.294,0.47000000000000003
0.053000000000000005,0.28500000000000003,0.2,0.0,0.3585,0.0,0.294,0.471
0.053000000000000005,0.28300000000000003,0.1992,0.0,0.3845,0.0,0.294,0.47000000000000003
0.054000000000000006,0.28300000000000003,0.1984,0.0,0.363,0.0,0.294,0.47400000000000003
0.5,0.281,0.2344,0.0,0.42350000000000004,0.1,0.294,0.46900000000000003
0.5,0.282,0.23279999999999998,0.0,0.385,0.10200000000000001,0.294,0.666
0.5,0.27999999999999997,0.1956,0.0,0.38849999999999996,0.10400000000000001,0.29500000000000004,0.462
0.5,0.298,0.21480000000000002,0.0,0.369,0.10600000000000001,0.34500000000000003,0.558
0.067,0.29700000000000004,0.2136,0.0,0.369,0.10800000000000001,0.346,0.662
0.55,0.21800000000000003,0.21280000000000002,0.0,0.3705,0.10800000000000001,0.346,0.661
0.5509999999999999,0.217,0.2124,0.0,0.373,0.11000000000000001,0.34700000000000003,0.6599999999999999
0.5519999999999999,0.233,0.2116,0.0,0.32599999999999996,0.11200000000000002,0.348,0.5349999999999999
