User,Alam,Hiburan,Kuliner,Olahraga,Rekreasi,Religius,Sejarah Edukasi,Seni Budaya
User 1,0.363,0.2601092896174863,0.21339173967459327,0.0,0.22602739726027393,0.0,0.18900343642611683,0.5878634639696587
User 2,0.363,0.2612021857923498,0.21339173967459327,0.0,0.24809741248097406,0.0,0.18900343642611683,0.5878634639696587
User 3,0.363,0.2601092896174863,0.21339173967459327,0.0,0.2465753424657534,0.0,0.18900343642611683,0.5878634639696587
User 4,0.363,0.2601092896174863,0.21339173967459327,0.0,0.2245053272450533,0.0,0.18900343642611683,0.5878634639696587
User 5,0.363,0.2601092896174863,0.21339173967459327,0.0,0.2465753424657534,0.0,0.18900343642611683,0.5878634639696587
User 6,0.363,0.2612021857923498,0.21339173967459327,0.0,0.24581430745814303,0.0,0.18900343642611683,0.5878634639696587
User 7,0.363,0.2601092896174863,0.2121401752190238,0.0,0.2245053272450533,0.0,0.18900343642611683,0.5891276864728192
User 8,0.363,0.2612021857923498,0.2121401752190238,0.0,0.24581430745814303,0.0,0.18900343642611683,0.5878634639696587
User 9,0.36400000000000005,0.2601092896174863,0.2102628285356696,0.0,0.20776255707762553,0.0,0.18900343642611683,0.46270543615676357
User 10,0.36400000000000005,0.25901639344262295,0.17897371714643304,0.0,0.1872146118721461,0.0,0.18900343642611683,0.46144121365360297
User 11,0.365,0.25901639344262295,0.17772215269086358,0.0,0.2092846270928463,0.0,0.18900343642611683,0.46144121365360297
User 12,0.365,0.2568306010928962,0.17584480600750937,0.0,0.2100456621004566,0.0,0.19014891179839638,0.46017699115044247
User 13,0.36600000000000005,0.2568306010928962,0.14956195244055073,0.0,0.2100456621004566,0.0,0.19014891179839638,0.45891276864728187
User 14,0.36600000000000005,0.521311475409836,0.14893617021276598,0.0,0.1872146118721461,0.0,0.19014891179839638,0.46396965865992407
User 15,0.367,0.25136612021857924,0.14956195244055073,0.0,0.1872146118721461,0.0,0.19014891179839638,0.2048040455120101
User 16,0.369,0.21967213114754097,0.14956195244055073,0.0,0.23668188736681883,0.0,0.19014891179839638,0.2048040455120101
User 17,0.36800000000000005,0.25136612021857924,0.11138923654568214,0.0,0.23668188736681883,0.0,0.19014891179839638,0.2060682680151707
User 18,0.369,0.25136612021857924,0.11138923654568214,0.0,0.2382039573820396,0.0,0.19014891179839638,0.2048040455120101
User 19,0.5,0.25792349726775954,0.11138923654568214,0.0,0.2374429223744292,0.0,0.19014891179839638,0.2073324905183312
User 20,0.37000000000000005,0.25792349726775954,0.11138923654568214,0.0,0.2374429223744292,0.0,0.19014891179839638,0.21112515802781284
User 21,0.5,0.2633879781420765,0.11138923654568214,0.0,0.2374429223744292,0.0,0.19014891179839638,0.2098609355246523
User 22,0.5,0.22732240437158474,0.11138923654568214,0.0,0.2382039573820396,0.0,0.19014891179839638,0.2098609355246523
User 23,0.5,0.22732240437158474,0.11138923654568214,0.0,0.2382039573820396,0.0,0.19014891179839638,0.2237673830594184
User 24,0.5,0.23387978142076504,0.1120150187734669,0.0,0.23592085235920845,0.0,0.19129438717067582,0.32237673830594177
User 25,0.052000000000000005,0.23606557377049175,0.13704630788485608,0.0,0.2496194824961948,0.0,0.19129438717067582,0.324905183312263
User 26,0.052000000000000005,0.2349726775956284,0.13642052565707138,0.0,0.27549467275494677,0.0,0.19129438717067582,0.3312262958280657
User 27,0.052000000000000005,0.2349726775956284,0.13704630788485608,0.0,0.25190258751902583,0.0,0.19129438717067582,0.3312262958280657
User 28,0.5,0.2349726775956284,0.13642052565707138,0.0,0.2526636225266362,0.0,0.19129438717067582,0.3312262958280657
User 29,0.052000000000000005,0.22185792349726774,0.13579474342928663,0.0,0.2526636225266362,0.0,0.19129438717067582,0.3312262958280657
User 30,0.052000000000000005,0.22185792349726774,0.13579474342928663,0.0,0.2534246575342466,0.0,0.19129438717067582,0.33249051833122617
User 31,0.052000000000000005,0.22076502732240438,0.13579474342928663,0.0,0.25190258751902583,0.0,0.19129438717067582,0.3312262958280657
User 32,0.052000000000000005,0.22076502732240438,0.13579474342928663,0.0,0.2526636225266362,0.0,0.19129438717067582,0.3312262958280657
User 33,0.053000000000000005,0.23387978142076504,0.13579474342928663,0.0,0.2770167427701674,0.0,0.19129438717067582,0.3299620733249052
User 34,0.053000000000000005,0.21857923497267762,0.13579474342928663,0.0,0.2770167427701674,0.0,0.19129438717067582,0.3312262958280657
User 35,0.053000000000000005,0.21639344262295085,0.13454317897371718,0.0,0.3165905631659056,0.0,0.19129438717067582,0.3299620733249052
User 36,0.054000000000000006,0.21639344262295085,0.13329161451814772,0.0,0.2838660578386605,0.0,0.19129438717067582,0.3350189633375474
User 37,0.5,0.21420765027322403,0.18961201501877348,0.0,0.37595129375951297,0.1,0.19129438717067582,0.3286978508217447
User 38,0.5,0.21530054644808744,0.18710888610763451,0.0,0.317351598173516,0.10200000000000001,0.19129438717067582,0.5777496839443741
User 39,0.5,0.21311475409836061,0.1289111389236546,0.0,0.3226788432267883,0.10400000000000001,0.19243986254295536,0.31984829329962067
User 40,0.5,0.23278688524590163,0.15894868585732172,0.0,0.2929984779299848,0.10600000000000001,0.24971363115693013,0.44121365360303405
User 41,0.067,0.23169398907103828,0.1570713391739675,0.0,0.2929984779299848,0.10800000000000001,0.2508591065292096,0.5726927939317319
User 42,0.55,0.1453551912568306,0.15581977471839806,0.0,0.2952815829528158,0.10800000000000001,0.2508591065292096,0.5714285714285714
User 43,0.551,0.1442622950819672,0.1551939924906133,0.0,0.2990867579908676,0.11000000000000001,0.25200458190148917,0.5701643489254107
User 44,0.5519999999999999,0.16174863387978144,0.15394242803504385,0.0,0.22754946727549463,0.11200000000000002,0.2531500572737686,0.4121365360303412
User 45,0.553,0.16065573770491803,0.1526908635794744,0.0,0.3287671232876712,0.11399999999999999,0.2531500572737686,0.3628318584070796
User 46,0.554,0.23169398907103828,0.20901126408010015,0.0,0.3287671232876712,0.11599999999999999,0.2565864833906071,0.3628318584070796
User 47,0.554,0.2295081967213115,0.2083854818523154,0.0,0.2709284627092846,0.118,0.2565864833906071,0.3615676359039191
User 48,0.555,0.2295081967213115,0.2077596996245307,0.0,0.273972602739726,0.12,0.26116838487972505,0.3577749683944374
User 49,0.5559999999999999,0.23825136612021858,0.2077596996245307,0.0,0.273972602739726,0.12,0.49369988545246274,0.3565107458912768
User 50,0.557,0.3245901639344262,0.20650813516896124,0.0,0.27625570776255703,0.122,0.49369988545246274,0.3565107458912768
User 51,0.557,0.25573770491803277,0.19899874843554446,0.0,0.33637747336377466,0.124,0.49484536082474223,0.3552465233881163
User 52,0.558,0.253551912568306,0.4780976220275345,0.0,0.39193302891933024,0.124,0.49484536082474223,0.41340075853350194
User 53,0.559,0.1584699453551912,0.19524405506883605,0.0,0.49467275494672747,0.126,0.49484536082474223,0.3565107458912768
User 54,0.5599999999999999,0.22732240437158474,0.1939924906132666,0.0,0.4992389649923895,0.126,0.2623138602520046,0.41340075853350194
User 55,0.562,0.3158469945355191,0.21777221526908638,0.0,0.5882800608828005,0.128,0.4971363115693013,0.4121365360303412
User 56,0.5750000000000001,0.3147540983606557,0.21652065081351693,0.0,0.5890410958904109,0.134,0.2623138602520046,0.4121365360303412
User 57,0.135,0.31366120218579235,0.21464330413016272,0.0,0.5890410958904109,0.13799999999999998,0.2646048109965636,0.41592920353982293
